stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
PF6,PF6,PF6-Av. Camilo Henríquez Esq. / Av. Gabriela Oriente,-33.5742817936849,-70.5542820502636,
PF7,PF7,PF7-Parada 2 / Mall   Plaza Tobalaba,-33.5692367218998,-70.5545110407544,
PF8,PF8,PF8-Parada  / Liceo   Juan Mackenna,-33.5643587794658,-70.5550320355375,
PF9,PF9,PF9-Parada  / Colegio Mayor,-33.5618877530954,-70.5560230413117,
PF10,PF10,PF10-Parada 2 / Paradero 26   Av. La Florida,-33.5595672961847,-70.558039907595,
PF11,PF11,PF11-Parada  / Paradero 25   Av. La Florida,-33.5575126463903,-70.5597080335774,
PF12,PF12,PF12-Parada  / Cementerio   Parque El Prado,-33.5553506638016,-70.5614970504934,
PF13,PF13,PF13-Parada 2 / Paradero 23   Av. La Florida,-33.5523561949805,-70.5639481472156,
PF15,PF15,PF15-Parada 2 / Paradero 21   Av. La Florida,-33.5478284826053,-70.5676661038556,
PE23,PE23,PE23-Parada  / Boston College   La Florida,-33.5438755433564,-70.5695616012395,
PE24,PE24,PE24-Parada 2 / Paradero 19   Av. La Florida,-33.5400323600927,-70.5712629175279,
PE25,PE25,PE25-Parada 2 / Paradero 18   Av. La Florida,-33.5358755062162,-70.5730699721655,
PE26,PE26,PE26-Parada  / Paradero 17   Av. La Florida,-33.5313101015542,-70.5748201339052,
PE27,PE27,PE27-Parada  / Paradero 16   Av. La Florida,-33.5287614597105,-70.5759450397632,
PE28,PE28,PE28-Parada  / Paradero 15   Av. La Florida,-33.5255074480404,-70.5772570286271,
PE29,PE29,PE29-Parada 2 / Paradero 14   Av. La Florida,-33.5228154163979,-70.5783589467685,
PE1287,PE1287,PE1287-Avenida La Florida Esq. / Manzanillones,-33.5208884105095,-70.5792689516675,
PE1383,PE1383,PE1383-Avenida La Florida Esq. / Los Cardenales,-33.5195162352778,-70.580430507225,
PE30,PE30,PE30-Avenida La Florida Esq. / Los Aralios,-33.5183703500615,-70.5817870380439,
PE31,PE31,PE31-Parada  / Liceo Ténico   La Florida,-33.516543352437,-70.5833649697919,
PE32,PE32,PE32-Parada  / Centro De Salud   La Florida,-33.5140303586596,-70.5852140108187,
PE33,PE33,PE33-Calle A Esq. / Av. Departamental,-33.5104192867145,-70.5863869460569,
PD1444,PD1444,PD1444-Parada  / Estación De Buses   (M) Macul -Oriente,-33.5099234733567,-70.591000089919,
PD1,PD1,PD1-Av. Departamental Esq. / F. González Urzúa,-33.5094401402607,-70.594813853526,
PD2,PD2,PD2-Av. Departamental Esq. / Ramón Toro Ibáñez,-33.5092349890641,-70.598006677242,
PD1161,PD1161,PD1161-Av. Departamental Esq. / E. Fernández,-33.5088477947925,-70.6029801724682,
PD4,PD4,PD4-Parada  / Estadio   Monumental,-33.5085802462342,-70.6065450321218,
PD5,PD5,PD5-Parada 3 / (M) Pedrero,-33.5082259196043,-70.6121120060424,
PH45,PH45,PH45-Av. Departamental Esq. / La Codorniz,-33.5079777586965,-70.6162091855757,
PH23,PH23,PH23-Parada  / Persa   Dapartamental,-33.5078118531866,-70.6188279748862,
PH24,PH24,PH24-Av. Departamental Esq. / Vecinal,-33.5075697958669,-70.6228210172721,
PH1455,PH1455,PH1455-Av. Departamental Esq. / Av. Las Industrias,-33.5074047141208,-70.6253870443919,
PH26,PH26,PH26-Av. Departamental Esq. / Pintor Murillo,-33.507124724887,-70.629450383569,
PH27,PH27,PH27-Av. Departamental Esq. / Juan Griego,-33.5069646200856,-70.6327360146534,
PH28,PH28,PH28-Parada  / Infocap,-33.5069936090994,-70.6351159701444,
PH29,PH29,PH29-Parada 2 / Departamental   Santa Rosa,-33.5069835405898,-70.6378609882651,
PH30,PH30,PH30-Av. Departamental Esq. / Montreal,-33.5063743556812,-70.6416376109704,
PH31,PH31,PH31-Av. Departamental Esq. / Montreal,-33.5058074120876,-70.6444940375665,
PH32,PH32,PH32-Av. Departamental Esq. / San Francisco,-33.5047963819172,-70.6489589906901,
PH33,PH33,PH33-Av. Departamental Esq. / Chiloé,-33.5041693955618,-70.6516123346151,
PH34,PH34,PH34-Parada 1 / (M) Departamental,-33.503605237541,-70.6540409924264,
PH35,PH35,PH35-Av. Departamental Esq. / San Jerónimo,-33.5026501771114,-70.6574600402443,
PH36,PH36,PH36-Av. Departamental Esq. / Gauss,-33.5020101727132,-70.6598670376294,
PH37,PH37,PH37-Av. Departamental Esq. / Monja Alférez,-33.5010930923829,-70.6633000297741,
PH38,PH38,PH38-Av. Departamental Esq. / Delta,-33.5000480690041,-70.666925003471,
PH1453,PH1453,PH1453-Av. Departamental Esq. / Alcibiades,-33.4991829990282,-70.6693899657992,
PH39,PH39,PH39-Av. Departamental Esq. / Club Hípico ,-33.4976709492575,-70.6715790466642,
PH40,PH40,PH40-Av. Departamental Esq. / Félix Mendelssohn,-33.4961109404659,-70.6735840383761,
